xsurvey,HHQFQur,num_SDPall,num_SDPpub,num_SDPpub12,num_SDPlow,noSDPany,noSDPpub,noSDPpub12,noSDPlow,min_num_SDPall,min_num_SDPpub,min_num_SDPpub12,min_num_SDPlow,max_num_SDPall,max_num_SDPpub,max_num_SDPpub12,max_num_SDPlow,nEASDP,nSDP,nSDPpub,nSDPprivate,nEA,country,round
BFR1,1. urban,3.384615384615385,2.807692307692307,1.807692307692308,2.115384615384615,0,0,0,0,2,2,1,1,6,4,3,4,88,106,89,17,26,BF,1
BFR1,2. rural,2.851851851851852,2.777777777777778,1.814814814814815,1.814814814814815,0,0,0,0,2,2,1,1,4,3,3,3,77,106,89,17,27,BF,1
BFR1,,3.113207547169811,2.792452830188679,1.811320754716981,1.962264150943396,0,0,0,0,2,2,1,1,6,4,3,4,165,106,89,17,53,BF,1
BFR2,1. urban,3.230769230769231,2.769230769230769,1.769230769230769,2,0,0,0,0,2,2,1,1,5,4,3,3,84,100,86,14,26,BF,2
BFR2,2. rural,2.740740740740741,2.666666666666667,1.703703703703704,1.703703703703704,0,0,0,0,2,2,1,1,4,3,2,2,74,100,86,14,27,BF,2
BFR2,,2.981132075471698,2.716981132075472,1.735849056603774,1.849056603773585,0,0,0,0,2,2,1,1,5,4,3,3,158,100,86,14,53,BF,2
BFR3,1. urban,3.390243902439024,2.853658536585366,1.853658536585366,2.170731707317073,0,0,0,0,2,2,1,1,6,5,4,5,139,132,110,22,41,BF,3
BFR3,2. rural,2.642857142857143,2.642857142857143,1.666666666666667,1.666666666666667,0,0,2.3809524,2.3809524,1,1,0,0,4,4,3,3,111,132,110,22,42,BF,3
BFR3,,3.012048192771084,2.746987951807229,1.759036144578313,1.91566265060241,0,0,1.2048192,1.2048192,1,1,0,0,6,5,4,5,250,132,110,22,83,BF,3
BFR4,1. urban,3.048780487804878,2.682926829268293,1.634146341463415,1.878048780487805,0,0,4.8780484,2.4390242,2,2,0,0,6,5,4,4,125,129,114,15,41,BF,4
BFR4,2. rural,2.690476190476191,2.690476190476191,1.761904761904762,1.761904761904762,0,0,0,0,2,2,1,1,3,3,2,2,113,129,114,15,42,BF,4
BFR4,,2.867469879518072,2.686746987951807,1.698795180722892,1.819277108433735,0,0,2.4096384,1.2048192,2,2,0,0,6,5,4,4,238,129,114,15,83,BF,4
BFR5,1. urban,2.658536585365854,2.292682926829268,1.51219512195122,1.75609756097561,2.4390242,2.4390242,7.3170729,4.8780484,0,0,0,0,6,3,2,4,109,130,115,15,41,BF,5
BFR5,2. rural,2.619047619047619,2.619047619047619,1.761904761904762,1.761904761904762,0,0,0,0,1,1,1,1,4,4,3,3,110,130,115,15,42,BF,5
BFR5,,2.63855421686747,2.457831325301205,1.63855421686747,1.759036144578313,1.2048192,1.2048192,3.6144576,2.4096384,0,0,0,0,6,4,3,4,219,130,115,15,83,BF,5
BFR6,1. urban,1.463414634146341,1.195121951219512,.926829268292683,1.097560975609756,29.268291,29.268291,31.707317,31.707317,0,0,0,0,4,3,2,3,60,96,84,12,41,BF,6
BFR6,2. rural,1.833333333333333,1.80952380952381,1.452380952380952,1.476190476190476,16.666668,16.666668,16.666668,16.666668,0,0,0,0,4,3,2,3,77,96,84,12,42,BF,6
BFR6,,1.650602409638554,1.506024096385542,1.192771084337349,1.289156626506024,22.891565,22.891565,24.096386,24.096386,0,0,0,0,4,3,2,3,137,96,84,12,83,BF,6
CDKinshasaR3,1. urban,4.52542372881356,.8135593220338984,.288135593220339,2.203389830508474,1.6949153,38.983051,72.881355,13.559322,0,0,0,0,7,4,2,5,267,247,30,217,58,CDKinshasa,3
CDKinshasaR3,,4.52542372881356,.8135593220338984,.288135593220339,2.203389830508474,1.6949153,38.983051,72.881355,13.559322,0,0,0,0,7,4,2,5,267,247,30,217,58,CDKinshasa,3
CDKinshasaR4,1. urban,4.46551724137931,1,.2413793103448276,1.706896551724138,0,27.586206,79.310349,12.068965,2,0,0,0,7,3,2,5,259,228,31,197,58,CDKinshasa,4
CDKinshasaR4,,4.46551724137931,1,.2413793103448276,1.706896551724138,0,27.586206,79.310349,12.068965,2,0,0,0,7,3,2,5,259,228,31,197,58,CDKinshasa,4
CDKinshasaR5,1. urban,3.431034482758621,.8275862068965517,.1896551724137931,1.551724137931034,0,32.758621,84.482758,12.068965,1,0,0,0,6,3,2,4,199,171,24,147,58,CDKinshasa,5
CDKinshasaR5,,3.431034482758621,.8275862068965517,.1896551724137931,1.551724137931034,0,32.758621,84.482758,12.068965,1,0,0,0,6,3,2,4,199,171,24,147,58,CDKinshasa,5
CDKinshasaR6,1. urban,3.5,.8275862068965517,.1724137931034483,1.844827586206897,1.7241379,27.586206,82.758621,12.068965,0,0,0,0,7,2,1,4,203,175,24,151,58,CDKinshasa,6
CDKinshasaR6,,3.474576271186441,.847457627118644,.1864406779661017,1.830508474576271,1.6949153,27.118645,81.355927,11.864407,0,0,0,0,7,2,1,4,205,175,24,151,58,CDKinshasa,6
CDKinshasaR7,1. urban,3.689655172413793,.7758620689655172,.1379310344827586,1.775862068965517,1.7241379,29.310345,86.206894,18.965517,0,0,0,0,7,2,1,5,214,186,21,165,58,CDKinshasa,7
CDKinshasaR7,,3.661016949152542,.7966101694915254,.1525423728813559,1.76271186440678,1.6949153,28.813559,84.745766,18.644068,0,0,0,0,7,2,1,5,216,186,21,165,58,CDKinshasa,7
CDKongoCentralR4,2. rural,2.307692307692307,.9807692307692307,.6923076923076923,1.346153846153846,5.7692308,26.923079,32.692307,9.6153851,0,0,0,0,5,3,2,5,120,120,51,69,52,CDKongoCentral,4
CDKongoCentralR4,,2.307692307692307,.9807692307692307,.6923076923076923,1.346153846153846,5.7692308,26.923079,32.692307,9.6153851,0,0,0,0,5,3,2,5,120,120,51,69,52,CDKongoCentral,4
CDKongoCentralR5,2. rural,1.961538461538461,1.057692307692308,.7692307692307693,1.192307692307692,5.7692308,21.153847,30.769232,13.461539,0,0,0,0,5,3,2,3,102,102,55,47,52,CDKongoCentral,5
