xsurvey,essential5_offer,essential5_curav,essential5_noso,essential5_ready,essential5_rnoso,group,nSDP,year,month,cmc,country,countrycode,round
BFR1,67.92453,66.037735,49.056606,33.962265,22.64151,All,106,2015,0,1380,Burkina Faso,BF,1
BFR1,66.315788,65.263161,46.315788,32.63158,20,Excluding hospitals,95,2015,0,1380,Burkina Faso,BF,1
BFR2,75,71,57,39,31,All,100,2015,6,1386,Burkina Faso,BF,2
BFR2,71.91011,68.53933,52.808987,37.078651,28.089888,Excluding hospitals,89,2015,6,1386,Burkina Faso,BF,2
BFR3,68.939392,60.606064,49.242424,33.333336,29.545454,All,132,2016,3,1395,Burkina Faso,BF,3
BFR3,66.1157,57.851238,46.280991,31.404961,27.272728,Excluding hospitals,121,2016,3,1395,Burkina Faso,BF,3
BFR4,74.418602,70.542633,63.565891,47.286819,41.860466,All,129,2017,0,1404,Burkina Faso,BF,4
BFR4,72.268906,68.06723,62.184875,44.537815,40.336136,Excluding hospitals,119,2017,0,1404,Burkina Faso,BF,4
BFR5,85.384613,80.769226,75.384613,67.692307,63.076927,All,130,2018,0,1416,Burkina Faso,BF,5
BFR5,84.166664,79.166672,75,65,61.666668,Excluding hospitals,120,2018,0,1416,Burkina Faso,BF,5
BFR6,82.291672,70.833328,67.708328,61.458332,59.375,All,96,2019,0,1428,Burkina Faso,BF,6
BFR6,81.31868,69.230774,67.032967,59.34066,58.24176,Excluding hospitals,91,2019,0,1428,Burkina Faso,BF,6
CDKinshasaR3,12.145749,7.6923079,6.4777331,2.4291499,1.6194333,All,247,2015,5,1385,"DRC, Kinshasa",CD,3
CDKinshasaR3,8.9686098,6.2780271,5.381166,2.2421525,1.3452915,Excluding hospitals,223,2015,5,1385,"DRC, Kinshasa",CD,3
CDKinshasaR4,14.91228,8.7719297,4.3859649,1.3157895,0,All,228,2016,0,1392,"DRC, Kinshasa",CD,4
CDKinshasaR4,9.7560968,4.8780484,2.9268293,.48780489,0,Excluding hospitals,205,2016,0,1392,"DRC, Kinshasa",CD,4
CDKinshasaR5,23.976608,15.204679,11.695907,2.9239767,2.9239767,All,171,2016,9,1401,"DRC, Kinshasa",CD,5
